,game_event_index,Unnamed: 0,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code
94,3788,3788,1903_08_TeamNJ_TeamB,21,5.0,21,592017,10,4
95,3806,3806,1903_08_TeamNJ_TeamB,25,6.0,25,770167,10,4
96,3849,3849,1903_08_TeamNJ_TeamB,37,9.0,37,1170067,10,4
97,3866,3866,1903_08_TeamNJ_TeamB,41,10.0,42,1373567,10,4
98,3914,3914,1903_08_TeamNJ_TeamB,54,13.0,55,1850117,10,4
99,3949,3949,1903_08_TeamNJ_TeamB,64,15.0,65,2154367,10,4
100,3982,3982,1903_08_TeamNJ_TeamB,73,18.0,74,2486567,10,4
101,4040,4040,1903_08_TeamNJ_TeamB,90,23.0,91,3039067,10,4
102,4081,4081,1903_08_TeamNJ_TeamB,101,27.0,102,3416017,10,4
103,4092,4092,1903_08_TeamNJ_TeamB,103,28.0,104,3568367,10,4
104,4109,4109,1903_08_TeamNJ_TeamB,107,29.0,108,3648017,10,4
105,4117,4117,1903_08_TeamNJ_TeamB,108,30.0,109,3681867,10,4
106,4135,4135,1903_08_TeamNJ_TeamB,111,32.0,112,3869517,10,4
107,4179,4179,1903_08_TeamNJ_TeamB,124,36.0,125,4254317,10,4
108,4207,4207,1903_08_TeamNJ_TeamB,132,38.0,133,4565767,10,4
109,4218,4218,1903_08_TeamNJ_TeamB,133,39.0,134,4619117,10,4
110,4229,4229,1903_08_TeamNJ_TeamB,135,41.0,136,4701617,10,4
111,4273,4273,1903_08_TeamNJ_TeamB,147,43.0,148,5065967,10,4
112,4304,4304,1903_08_TeamNJ_TeamB,154,46.0,155,5421717,10,4
113,4311,4311,1903_08_TeamNJ_TeamB,155,47.0,156,5510467,10,4
114,4338,4338,1903_08_TeamNJ_TeamB,162,49.0,163,5703967,10,4
115,4371,4371,1903_08_TeamNJ_TeamB,171,52.0,172,6067017,10,4
116,4382,4382,1903_08_TeamNJ_TeamB,173,53.0,174,6131617,10,4
117,4393,4393,1903_08_TeamNJ_TeamB,175,54.0,176,6302267,10,4
118,4443,4443,1903_08_TeamNJ_TeamB,190,57.0,191,6783567,10,4
119,4454,4454,1903_08_TeamNJ_TeamB,192,58.0,193,6846117,10,4
120,4526,4526,1903_08_TeamNJ_TeamB,213,65.0,214,7641567,10,4
121,4547,4547,1903_08_TeamNJ_TeamB,218,66.0,219,7808767,10,4
122,4597,4597,1903_08_TeamNJ_TeamB,232,70.0,233,8364867,10,4
123,4609,4609,1903_08_TeamNJ_TeamB,234,71.0,235,8415317,10,4
124,4725,4725,1900_08_TeamKL_TeamB,29,,29,978482,10,4
125,4793,4793,1900_08_TeamKL_TeamB,50,,50,1675352,10,4
126,4820,4820,1900_08_TeamKL_TeamB,55,,55,2007449,10,4
127,4921,4921,1900_08_TeamKL_TeamB,85,,85,3179890,10,4
128,5112,5112,1900_08_TeamKL_TeamB,141,,141,5092437,10,4
129,5137,5137,1900_08_TeamKL_TeamB,147,,147,5308588,10,4
130,5164,5164,1900_08_TeamKL_TeamB,154,,154,5516355,10,4
131,5280,5280,1900_08_TeamKL_TeamB,186,,186,6933264,10,4
132,5315,5315,1900_08_TeamKL_TeamB,195,,195,7312426,10,4
133,5360,5360,1900_08_TeamKL_TeamB,208,,208,7823477,10,4
134,5385,5385,1900_08_TeamKL_TeamB,215,,215,8023587,10,4
135,5457,5457,1900_08_TeamKL_TeamB,234,,234,8791979,10,4
136,5523,5523,1900_08_TeamKL_TeamB,253,,253,9577138,10,4
137,5561,5561,1900_08_TeamKL_TeamB,262,,262,10025248,10,4
138,5647,5647,1903_23_TeamNA_TeamA1,6,1.0,6,111810,10,4
139,5714,5714,1903_23_TeamNA_TeamA1,26,4.0,26,671160,10,4
140,5790,5790,1903_23_TeamNA_TeamA1,46,9.0,47,1230460,10,4
141,5813,5813,1903_23_TeamNA_TeamA1,52,10.0,53,1343510,10,4
142,5867,5867,1903_23_TeamNA_TeamA1,67,16.0,69,2017594,10,4
143,5911,5911,1903_23_TeamNA_TeamA1,79,20.0,81,2366044,10,4
144,5932,5932,1903_23_TeamNA_TeamA1,84,22.0,86,2519744,10,4
145,5957,5957,1903_23_TeamNA_TeamA1,89,24.0,91,2734444,10,4
146,6005,6005,1903_23_TeamNA_TeamA1,101,28.0,104,3161094,10,4
147,6020,6020,1903_23_TeamNA_TeamA1,104,29.0,107,3227644,10,4
148,6044,6044,1903_23_TeamNA_TeamA1,110,31.0,113,3543394,10,4
149,6063,6063,1903_23_TeamNA_TeamA1,115,32.0,119,3670944,10,4
150,6098,6098,1903_23_TeamNA_TeamA1,124,34.0,128,3934594,10,4
151,6132,6132,1903_23_TeamNA_TeamA1,133,36.0,137,4242444,10,4
152,6161,6161,1903_23_TeamNA_TeamA1,140,37.0,144,4396644,10,4
153,6315,6315,1903_23_TeamNA_TeamA1,187,45.0,192,5767594,10,4
154,6336,6336,1903_23_TeamNA_TeamA1,191,46.0,196,5863694,10,4
155,6346,6346,1903_23_TeamNA_TeamA1,193,47.0,198,5923694,10,4
156,6361,6361,1903_23_TeamNA_TeamA1,196,48.0,201,6197894,10,4
157,6388,6388,1903_23_TeamNA_TeamA1,203,50.0,209,6435394,10,4
158,6451,6451,1903_23_TeamNA_TeamA1,221,55.0,227,7020394,10,4
159,6462,6462,1903_23_TeamNA_TeamA1,224,56.0,230,7086194,10,4
160,6566,6566,1903_23_TeamNA_TeamA1,254,64.0,262,8027094,10,4
161,6631,6631,1903_23_TeamNA_TeamA1,273,67.0,281,8580594,10,4
162,6707,6707,1902_19_TeamME_TeamA2,23,4.0,23,532187,10,4
163,6715,6715,1902_19_TeamME_TeamA2,24,5.0,24,741202,10,4
164,6760,6760,1902_19_TeamME_TeamA2,37,7.0,37,1152652,10,4
165,6794,6794,1902_19_TeamME_TeamA2,46,9.0,46,1587702,10,4
166,6837,6837,1902_19_TeamME_TeamA2,58,12.0,58,2169852,10,4
167,6854,6854,1902_19_TeamME_TeamA2,62,13.0,62,2296302,10,4
168,6871,6871,1902_19_TeamME_TeamA2,66,14.0,66,2402502,10,4
169,6901,6901,1902_19_TeamME_TeamA2,72,15.0,72,2548952,10,4
170,6950,6950,1902_19_TeamME_TeamA2,87,17.0,87,3037952,10,4
171,6973,6973,1902_19_TeamME_TeamA2,91,19.0,91,3208552,10,4
172,6989,6989,1902_19_TeamME_TeamA2,94,20.0,94,3302902,10,4
173,7040,7040,1902_19_TeamME_TeamA2,109,22.0,109,3910752,10,4
174,7157,7157,1902_19_TeamME_TeamA2,143,30.0,143,5014402,10,4
175,7196,7196,1902_19_TeamME_TeamA2,154,32.0,154,5365202,10,4
176,7223,7223,1902_19_TeamME_TeamA2,161,33.0,161,5534952,10,4
177,7280,7280,1902_19_TeamME_TeamA2,178,37.0,178,6199902,10,4
178,7287,7287,1902_19_TeamME_TeamA2,179,38.0,179,6400252,10,4
179,7303,7303,1902_19_TeamME_TeamA2,182,39.0,182,6477202,10,4
180,7409,7409,1902_19_TeamME_TeamA2,213,47.0,213,7572202,10,4
181,7482,7482,1902_19_TeamME_TeamA2,235,52.0,235,8275152,10,4
182,7511,7511,1902_19_TeamME_TeamA2,243,54.0,243,8571152,10,4
183,7538,7538,1902_19_TeamME_TeamA2,250,56.0,250,8780952,10,4
184,7575,7575,1902_19_TeamME_TeamA2,260,,260,9225652,10,4
185,7583,7583,1902_19_TeamME_TeamA2,261,,261,9281952,10,4
186,7612,7612,1902_19_TeamME_TeamA2,269,61.0,269,9519152,10,4
187,7620,7620,1902_19_TeamME_TeamA2,270,61.0,270,9581002,10,4
188,7657,7657,1902_19_TeamME_TeamA2,280,64.0,280,9923352,10,4
189,7721,7721,1901_08_TeamLK_TeamB,7,,7,188343,10,4
190,7762,7762,1901_08_TeamLK_TeamB,19,,19,484643,10,4
191,7822,7822,1901_08_TeamLK_TeamB,36,,36,1114192,10,4
192,7829,7829,1901_08_TeamLK_TeamB,37,,37,1147392,10,4
193,7901,7901,1901_08_TeamLK_TeamB,57,,57,1748692,10,4
194,7922,7922,1901_08_TeamLK_TeamB,62,,62,1877492,10,4
195,7943,7943,1901_08_TeamLK_TeamB,67,,67,2124541,10,4
196,7953,7953,1901_08_TeamLK_TeamB,69,,69,2188991,10,4
197,7974,7974,1901_08_TeamLK_TeamB,74,,74,2435191,10,4
198,8000,8000,1901_08_TeamLK_TeamB,81,,81,2731541,10,4
199,8014,8014,1901_08_TeamLK_TeamB,84,,84,2800041,10,4
200,8061,8061,1901_08_TeamLK_TeamB,98,,98,3214790,10,4
201,8081,8081,1901_08_TeamLK_TeamB,102,,102,3317890,10,4
202,8114,8114,1901_08_TeamLK_TeamB,111,,111,3582890,10,4
203,8138,8138,1901_08_TeamLK_TeamB,117,,117,3866090,10,4
204,8174,8174,1901_08_TeamLK_TeamB,126,,126,4185089,10,4
205,8226,8226,1901_08_TeamLK_TeamB,139,,139,4688989,10,4
206,8243,8243,1901_08_TeamLK_TeamB,143,,143,4908239,10,4
207,8254,8254,1901_08_TeamLK_TeamB,145,,145,4962689,10,4
208,8278,8278,1901_08_TeamLK_TeamB,150,,150,5119238,10,4
209,8304,8304,1901_08_TeamLK_TeamB,158,,158,5453438,10,4
210,8339,8339,1901_08_TeamLK_TeamB,167,,167,5802488,10,4
211,8403,8403,1901_08_TeamLK_TeamB,184,,185,6571487,10,4
212,8438,8438,1901_08_TeamLK_TeamB,193,,194,6957737,10,4
213,8446,8446,1901_08_TeamLK_TeamB,194,,195,7137737,10,4
214,8469,8469,1901_08_TeamLK_TeamB,200,,201,7303486,10,4
215,8518,8518,1901_08_TeamLK_TeamB,214,,215,7807836,10,4
216,8568,8568,1901_08_TeamLK_TeamB,228,,229,8277235,10,4
217,8588,8588,1901_08_TeamLK_TeamB,233,,234,8559685,10,4
218,8642,8642,1901_08_TeamLK_TeamB,248,,249,9215735,10,4
219,8681,8681,1902_22_TeamMA_TeamA1,5,2.0,5,425740,10,4
220,8720,8720,1902_22_TeamMA_TeamA1,15,4.0,15,753790,10,4
221,8763,8763,1902_22_TeamMA_TeamA1,27,7.0,27,1176890,10,4
222,8803,8803,1902_22_TeamMA_TeamA1,36,9.0,36,1405540,10,4
223,8869,8869,1902_22_TeamMA_TeamA1,55,15.0,55,2044440,10,4
224,8882,8882,1902_22_TeamMA_TeamA1,57,16.0,57,2114140,10,4
225,8910,8910,1902_22_TeamMA_TeamA1,65,18.0,65,2359840,10,4
226,8925,8925,1902_22_TeamMA_TeamA1,68,19.0,68,2434740,10,4
227,8943,8943,1902_22_TeamMA_TeamA1,72,20.0,72,2540990,10,4
228,8959,8959,1902_22_TeamMA_TeamA1,75,21.0,75,2635840,10,4
229,8996,8996,1902_22_TeamMA_TeamA1,84,24.0,84,3051990,10,4
230,9005,9005,1902_22_TeamMA_TeamA1,85,25.0,85,3093390,10,4
231,9053,9053,1902_22_TeamMA_TeamA1,98,28.0,98,3441190,10,4
232,9065,9065,1902_22_TeamMA_TeamA1,101,29.0,101,3616890,10,4
233,9080,9080,1902_22_TeamMA_TeamA1,104,30.0,104,3679640,10,4
234,9110,9110,1902_22_TeamMA_TeamA1,112,32.0,112,3915840,10,4
235,9253,9253,1902_22_TeamMA_TeamA1,151,42.0,151,5417190,10,4
236,9268,9268,1902_22_TeamMA_TeamA1,155,44.0,155,5518140,10,4
237,9279,9279,1902_22_TeamMA_TeamA1,157,45.0,157,5678940,10,4
238,9293,9293,1902_22_TeamMA_TeamA1,160,46.0,160,5743290,10,4
239,9303,9303,1902_22_TeamMA_TeamA1,161,47.0,161,5778090,10,4
240,9319,9319,1902_22_TeamMA_TeamA1,164,48.0,164,5856940,10,4
241,9379,9379,1902_22_TeamMA_TeamA1,182,52.0,182,6388990,10,4
242,9395,9395,1902_22_TeamMA_TeamA1,185,53.0,185,6471440,10,4
243,9427,9427,1902_22_TeamMA_TeamA1,193,55.0,193,6792040,10,4
244,9439,9439,1902_22_TeamMA_TeamA1,195,56.0,195,6838640,10,4
245,9455,9455,1902_22_TeamMA_TeamA1,199,57.0,199,6923740,10,4
246,9471,9471,1902_22_TeamMA_TeamA1,202,59.0,202,7129390,10,4
247,9481,9481,1902_22_TeamMA_TeamA1,204,60.0,204,7186990,10,4
248,9489,9489,1902_22_TeamMA_TeamA1,205,61.0,205,7279240,10,4
249,9531,9531,1902_22_TeamMA_TeamA1,217,63.0,217,7601590,10,4
250,9539,9539,1902_22_TeamMA_TeamA1,218,64.0,218,7802940,10,4
251,9570,9570,1902_22_TeamMA_TeamA1,226,66.0,226,8110840,10,4
252,9586,9586,1902_22_TeamMA_TeamA1,230,67.0,230,8211340,10,4
253,9656,9656,1902_22_TeamMA_TeamA1,249,73.0,249,8900990,10,4
254,9684,9684,1902_22_TeamMA_TeamA1,256,74.0,256,9097790,10,4
255,9702,9702,1902_22_TeamMA_TeamA1,260,75.0,260,9188840,10,4
256,9710,9710,1902_22_TeamMA_TeamA1,261,76.0,261,9309990,10,4
257,9746,9746,1902_12_TeamMI_TeamA3,11,3.0,11,227454,10,4
258,9758,9758,1902_12_TeamMI_TeamA3,13,4.0,13,300304,10,4
259,9797,9797,1902_12_TeamMI_TeamA3,24,7.0,24,661654,10,4
260,9832,9832,1902_12_TeamMI_TeamA3,35,10.0,35,1066104,10,4
261,9858,9858,1902_12_TeamMI_TeamA3,43,12.0,43,1394804,10,4
262,9876,9876,1902_12_TeamMI_TeamA3,45,13.0,45,1464404,10,4
263,9900,9900,1902_12_TeamMI_TeamA3,49,14.0,49,1588354,10,4
264,9928,9928,1902_12_TeamMI_TeamA3,57,16.0,57,1840454,10,4
265,9969,9969,1902_12_TeamMI_TeamA3,68,18.0,68,2270104,10,4
266,9986,9986,1902_12_TeamMI_TeamA3,70,19.0,70,2346554,10,4
267,10036,10036,1902_12_TeamMI_TeamA3,84,23.0,84,2785304,10,4
268,10227,10227,1902_12_TeamMI_TeamA3,138,37.0,138,4690204,10,4
269,10263,10263,1902_12_TeamMI_TeamA3,148,40.0,148,5288854,10,4
270,10351,10351,1902_12_TeamMI_TeamA3,174,45.0,174,6076954,10,4
271,10368,10368,1902_12_TeamMI_TeamA3,178,46.0,178,6287704,10,4
272,10373,10373,1902_12_TeamMI_TeamA3,179,47.0,179,6330304,10,4
273,10402,10402,1902_12_TeamMI_TeamA3,186,49.0,186,6557904,10,4
274,10425,10425,1902_12_TeamMI_TeamA3,190,51.0,190,6746954,10,4
275,10455,10455,1902_12_TeamMI_TeamA3,196,53.0,196,7122904,10,4
276,10496,10496,1902_12_TeamMI_TeamA3,208,55.0,208,7440704,10,4
277,10574,10574,1902_12_TeamMI_TeamA3,231,60.0,231,8230854,10,4
278,10585,10585,1902_12_TeamMI_TeamA3,232,61.0,232,8426754,10,4
279,10648,10648,1902_12_TeamMI_TeamA3,249,65.0,249,8964504,10,4
280,10689,10689,1902_12_TeamMI_TeamA3,260,68.0,260,9356004,10,4
281,10714,10714,1902_12_TeamMI_TeamA3,266,71.0,266,9667954,10,4
282,10760,10760,1903_11_TeamNC_TeamA1,13,4.0,13,393100,10,4
283,10792,10792,1903_11_TeamNC_TeamA1,21,7.0,21,683450,10,4
284,10824,10824,1903_11_TeamNC_TeamA1,26,9.0,26,820050,10,4
285,10845,10845,1903_11_TeamNC_TeamA1,31,10.0,31,941250,10,4
286,10889,10889,1903_11_TeamNC_TeamA1,42,14.0,42,1423850,10,4
287,10926,10926,1903_11_TeamNC_TeamA1,52,16.0,52,1706350,10,4
288,10955,10955,1903_11_TeamNC_TeamA1,59,18.0,59,1988900,10,4
289,10967,10967,1903_11_TeamNC_TeamA1,61,19.0,61,2060800,10,4
290,11033,11033,1903_11_TeamNC_TeamA1,80,22.0,80,2716200,10,4
291,11041,11041,1903_11_TeamNC_TeamA1,82,23.0,82,2777050,10,4
292,11075,11075,1903_11_TeamNC_TeamA1,90,25.0,90,2967550,10,4
293,11104,11104,1903_11_TeamNC_TeamA1,98,28.0,99,8600036,10,4
294,11125,11125,1903_11_TeamNC_TeamA1,102,29.0,103,8801336,10,4
295,11135,11135,1903_11_TeamNC_TeamA1,103,30.0,104,8840886,10,4
296,11166,11166,1903_11_TeamNC_TeamA1,110,32.0,111,9096086,10,4
297,11198,11198,1903_11_TeamNC_TeamA1,116,33.0,117,9318986,10,4
298,11232,11232,1903_11_TeamNC_TeamA1,124,35.0,125,9541636,10,4
299,11256,11256,1903_11_TeamNC_TeamA1,129,36.0,130,9700386,10,4
300,11271,11271,1903_11_TeamNC_TeamA1,132,37.0,133,9768636,10,4
301,11312,11312,1903_11_TeamNC_TeamA1,139,40.0,140,10106636,10,4
302,11321,11321,1903_11_TeamNC_TeamA1,141,41.0,142,10169736,10,4
303,11343,11343,1903_11_TeamNC_TeamA1,146,43.0,147,10299836,10,4
304,11390,11390,1903_11_TeamNC_TeamA1,159,47.0,160,10816886,10,4
305,11421,11421,1903_11_TeamNC_TeamA1,166,49.0,167,10990386,10,4
306,11438,11438,1903_11_TeamNC_TeamA1,169,50.0,170,11076936,10,4
307,11470,11470,1903_11_TeamNC_TeamA1,178,53.0,179,11353186,10,4
308,11505,11505,1903_11_TeamNC_TeamA1,188,56.0,189,11731136,10,4
309,11515,11515,1903_11_TeamNC_TeamA1,190,57.0,191,11888186,10,4
310,11529,11529,1903_11_TeamNC_TeamA1,193,58.0,194,11954636,10,4
311,11546,11546,1903_11_TeamNC_TeamA1,196,59.0,197,12045886,10,4
312,11569,11569,1903_11_TeamNC_TeamA1,200,61.0,201,12239236,10,4
313,11580,11580,1903_11_TeamNC_TeamA1,202,62.0,203,12294486,10,4
314,11595,11595,1903_11_TeamNC_TeamA1,205,63.0,206,12502836,10,4
315,11605,11605,1903_11_TeamNC_TeamA1,207,64.0,208,12559186,10,4
316,11639,11639,1903_11_TeamNC_TeamA1,216,66.0,217,12921786,10,4
317,11696,11696,1903_11_TeamNC_TeamA1,231,72.0,233,13503186,10,4
318,11729,11729,1903_11_TeamNC_TeamA1,240,74.0,242,13676836,10,4
319,11746,11746,1903_11_TeamNC_TeamA1,244,75.0,246,13857986,10,4
320,11773,11773,1903_11_TeamNC_TeamA1,248,77.0,250,13979486,10,4
321,11798,11798,1903_11_TeamNC_TeamA1,253,79.0,255,14155236,10,4
322,11825,11825,1903_11_TeamNC_TeamA1,259,82.0,261,14536236,10,4
323,11844,11844,1903_11_TeamNC_TeamA1,263,84.0,265,14623286,10,4
324,11853,11853,1903_11_TeamNC_TeamA1,264,85.0,266,14746936,10,4
325,11892,11892,1900_07_TeamKL_TeamB,8,,8,154065,10,4
326,11905,11905,1900_07_TeamKL_TeamB,11,,11,207039,10,4
327,11921,11921,1900_07_TeamKL_TeamB,15,,15,401901,10,4
328,11945,11945,1900_07_TeamKL_TeamB,21,,21,513557,10,4
329,11989,11989,1900_07_TeamKL_TeamB,33,,33,886581,10,4
330,12086,12086,1900_07_TeamKL_TeamB,63,,63,1830230,10,4
331,12158,12158,1900_07_TeamKL_TeamB,83,,83,2365144,10,4
332,12183,12183,1900_07_TeamKL_TeamB,90,,90,2663873,10,4
333,12232,12232,1900_07_TeamKL_TeamB,102,,102,3168719,10,4
334,12305,12305,1900_07_TeamKL_TeamB,122,,122,3841528,10,4
335,12322,12322,1900_07_TeamKL_TeamB,126,,126,3971668,10,4
336,12327,12327,1900_07_TeamKL_TeamB,127,,127,4013815,10,4
337,12336,12336,1900_07_TeamKL_TeamB,128,,128,4048272,10,4
338,12350,12350,1900_07_TeamKL_TeamB,131,,131,4139664,10,4
339,12363,12363,1900_07_TeamKL_TeamB,134,,134,4314426,10,4
340,12373,12373,1900_07_TeamKL_TeamB,136,,136,4360534,10,4
341,12405,12405,1900_07_TeamKL_TeamB,146,,146,4649658,10,4
342,12435,12435,1900_07_TeamKL_TeamB,154,,154,5030933,10,4
343,12447,12447,1900_07_TeamKL_TeamB,156,,156,5191338,10,4
344,12470,12470,1900_07_TeamKL_TeamB,162,,162,5319925,10,4
345,12477,12477,1900_07_TeamKL_TeamB,163,,163,5353921,10,4
346,12533,12533,1900_07_TeamKL_TeamB,179,,179,6209248,10,4
347,12551,12551,1900_07_TeamKL_TeamB,184,,184,6422098,10,4
