,Unnamed: 0,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code
82022,82022,1902_25_TeamMH_TeamA3,289,68.0,290,9366747,255,16
106,106,1903_01_TeamNE_TeamA2,28,7.0,28,711705,255,16
107,107,1903_01_TeamNE_TeamA2,28,7.0,28,713058,255,16
82023,82023,1902_25_TeamMH_TeamA3,289,68.0,290,9367047,255,16
98413,98413,1903_06_TeamND_TeamA2,79,23.0,81,2459074,255,16
82024,82024,1902_25_TeamMH_TeamA3,289,68.0,290,9367347,255,16
16493,16493,1901_12_TeamLJ_TeamB,143,,143,4895792,255,16
49256,49256,1902_05_TeamML_TeamB,43,10.0,43,1362379,3,2
49265,49265,1902_05_TeamML_TeamB,45,11.0,45,1425329,255,16
49266,49266,1902_05_TeamML_TeamB,45,11.0,45,1426029,255,16
65652,65652,1903_18_TeamNI_TeamA3,103,32.0,103,3278181,255,16
65653,65653,1903_18_TeamNI_TeamA3,103,32.0,103,3278531,255,16
65654,65654,1903_18_TeamNI_TeamA3,103,32.0,103,3278781,255,16
65655,65655,1903_18_TeamNI_TeamA3,103,32.0,103,3279081,255,16
16503,16503,1901_12_TeamLJ_TeamB,145,,145,5016142,255,16
16504,16504,1901_12_TeamLJ_TeamB,145,,145,5016892,255,16
49273,49273,1902_05_TeamML_TeamB,46,12.0,46,1497729,255,16
49274,49274,1902_05_TeamML_TeamB,46,12.0,46,1498379,255,16
49275,49275,1902_05_TeamML_TeamB,46,12.0,46,1499029,255,16
49276,49276,1902_05_TeamML_TeamB,46,12.0,46,1499429,255,16
32894,32894,1903_19_TeamNL_TeamB,227,60.0,231,7812751,255,16
32895,32895,1903_19_TeamNL_TeamB,227,60.0,231,7813851,255,16
65656,65656,1903_18_TeamNI_TeamA3,103,32.0,103,3279731,4,2
135,135,1903_01_TeamNE_TeamA2,36,8.0,36,1013226,255,16
16520,16520,1901_12_TeamLJ_TeamB,149,,149,5151642,255,16
49289,49289,1902_05_TeamML_TeamB,49,13.0,49,1597479,255,16
65674,65674,1903_18_TeamNI_TeamA3,108,33.0,109,3381781,255,16
65675,65675,1903_18_TeamNI_TeamA3,108,33.0,109,3382781,255,16
49290,49290,1902_05_TeamML_TeamB,49,13.0,49,1598429,255,16
98445,98445,1903_06_TeamND_TeamA2,88,25.0,90,2746174,255,16
49291,49291,1902_05_TeamML_TeamB,49,13.0,49,1598979,255,16
49292,49292,1902_05_TeamML_TeamB,49,13.0,49,1599329,255,16
98446,98446,1903_06_TeamND_TeamA2,88,25.0,90,2746624,6,2
82065,82065,1902_25_TeamMH_TeamA3,301,71.0,302,9821847,255,16
146,146,1903_01_TeamNE_TeamA2,38,9.0,38,1091832,255,16
147,147,1903_01_TeamNE_TeamA2,38,9.0,38,1092294,255,16
148,148,1903_01_TeamNE_TeamA2,38,9.0,38,1092459,5,2
65686,65686,1903_18_TeamNI_TeamA3,110,34.0,111,3451531,255,16
49311,49311,1902_05_TeamML_TeamB,54,14.0,54,1741779,255,16
98464,98464,1903_06_TeamND_TeamA2,93,27.0,95,2886624,255,16
98465,98465,1903_06_TeamND_TeamA2,93,27.0,95,2887574,255,16
65698,65698,1903_18_TeamNI_TeamA3,112,35.0,113,3531231,255,16
65699,65699,1903_18_TeamNI_TeamA3,112,35.0,113,3532181,255,16
65700,65700,1903_18_TeamNI_TeamA3,112,35.0,113,3532681,255,16
65701,65701,1903_18_TeamNI_TeamA3,112,35.0,113,3533131,255,16
49312,49312,1902_05_TeamML_TeamB,54,14.0,54,1742829,255,16
16546,16546,1901_12_TeamLJ_TeamB,156,,156,5437342,255,16
98466,98466,1903_06_TeamND_TeamA2,93,27.0,95,2888174,6,2
65709,65709,1903_18_TeamNI_TeamA3,114,36.0,115,3612881,255,16
65710,65710,1903_18_TeamNI_TeamA3,114,36.0,115,3613381,255,16
65711,65711,1903_18_TeamNI_TeamA3,114,36.0,115,3613881,255,16
65712,65712,1903_18_TeamNI_TeamA3,114,36.0,115,3614231,255,16
49330,49330,1902_05_TeamML_TeamB,58,15.0,58,1974879,255,16
49331,49331,1902_05_TeamML_TeamB,58,15.0,58,1975679,255,16
49332,49332,1902_05_TeamML_TeamB,58,15.0,58,1976479,255,16
91217,91217,1903_10_TeamNJ_TeamB,43,13.0,46,1546639,255,16
65731,65731,1903_18_TeamNI_TeamA3,119,37.0,120,3749881,255,16
65732,65732,1903_18_TeamNI_TeamA3,119,37.0,120,3751181,255,16
65733,65733,1903_18_TeamNI_TeamA3,119,37.0,120,3751931,255,16
65734,65734,1903_18_TeamNI_TeamA3,119,37.0,120,3752331,255,16
32973,32973,1903_19_TeamNL_TeamB,251,66.0,255,8506901,255,16
32974,32974,1903_19_TeamNL_TeamB,251,66.0,255,8507451,255,16
32975,32975,1903_19_TeamNL_TeamB,251,66.0,255,8507801,255,16
32976,32976,1903_19_TeamNL_TeamB,251,66.0,255,8508151,255,16
32977,32977,1903_19_TeamNL_TeamB,251,66.0,255,8508901,255,16
32978,32978,1903_19_TeamNL_TeamB,251,66.0,255,8509451,255,16
32979,32979,1903_19_TeamNL_TeamB,251,66.0,255,8509951,255,16
212,212,1903_01_TeamNE_TeamA2,58,13.0,58,1615081,255,16
213,213,1903_01_TeamNE_TeamA2,58,13.0,58,1616104,255,16
32980,32980,1903_19_TeamNL_TeamB,251,66.0,255,8510351,255,16
49358,49358,1902_05_TeamML_TeamB,65,17.0,65,2159029,255,16
49359,49359,1902_05_TeamML_TeamB,65,17.0,65,2159779,255,16
49360,49360,1902_05_TeamML_TeamB,65,17.0,65,2160229,255,16
65754,65754,1903_18_TeamNI_TeamA3,123,38.0,124,3889881,255,16
65755,65755,1903_18_TeamNI_TeamA3,123,38.0,124,3890881,255,16
49363,49363,1902_05_TeamML_TeamB,65,17.0,65,2161429,255,16
16596,16596,1901_12_TeamLJ_TeamB,172,,172,5950491,255,16
98526,98526,1903_06_TeamND_TeamA2,111,33.0,113,3548724,255,16
98527,98527,1903_06_TeamND_TeamA2,111,33.0,113,3550224,255,16
82144,82144,1902_25_TeamMH_TeamA3,324,76.0,325,10545847,255,16
82145,82145,1902_25_TeamMH_TeamA3,324,76.0,325,10546397,255,16
82146,82146,1902_25_TeamMH_TeamA3,324,76.0,325,10546797,255,16
65756,65756,1903_18_TeamNI_TeamA3,123,38.0,124,3891531,4,2
98534,98534,1903_06_TeamND_TeamA2,112,34.0,114,3589524,255,16
98535,98535,1903_06_TeamND_TeamA2,112,34.0,114,3590374,255,16
98536,98536,1903_06_TeamND_TeamA2,112,34.0,114,3590924,255,16
98537,98537,1903_06_TeamND_TeamA2,112,34.0,114,3591374,255,16
33002,33002,1903_19_TeamNL_TeamB,256,68.0,260,8626401,255,16
33003,33003,1903_19_TeamNL_TeamB,256,68.0,260,8626951,255,16
33004,33004,1903_19_TeamNL_TeamB,256,68.0,260,8627551,255,16
98538,98538,1903_06_TeamND_TeamA2,112,34.0,114,3591724,255,16
82153,82153,1902_25_TeamMH_TeamA3,325,77.0,326,10591547,255,16
82154,82154,1902_25_TeamMH_TeamA3,325,77.0,326,10592697,255,16
82155,82155,1902_25_TeamMH_TeamA3,325,77.0,326,10593297,255,16
251,251,1903_01_TeamNE_TeamA2,69,16.0,69,2007583,255,16
252,252,1903_01_TeamNE_TeamA2,69,16.0,69,2008705,255,16
253,253,1903_01_TeamNE_TeamA2,69,16.0,69,2009299,255,16
65794,65794,1903_18_TeamNI_TeamA3,134,41.0,135,4219381,255,16
98567,98567,1903_06_TeamND_TeamA2,120,36.0,122,3861874,255,16
98568,98568,1903_06_TeamND_TeamA2,120,36.0,122,3863024,255,16
49417,49417,1902_05_TeamML_TeamB,81,20.0,81,2678279,255,16
49418,49418,1902_05_TeamML_TeamB,81,20.0,81,2679879,255,16
33035,33035,1903_19_TeamNL_TeamB,264,70.0,268,8977601,255,16
33036,33036,1903_19_TeamNL_TeamB,264,70.0,268,8978151,255,16
269,269,1903_01_TeamNE_TeamA2,73,17.0,73,2189314,255,16
270,270,1903_01_TeamNE_TeamA2,73,17.0,73,2189677,255,16
33037,33037,1903_19_TeamNL_TeamB,264,70.0,268,8978701,255,16
49419,49419,1902_05_TeamML_TeamB,81,20.0,81,2680879,255,16
49420,49420,1902_05_TeamML_TeamB,81,20.0,81,2681429,255,16
49421,49421,1902_05_TeamML_TeamB,81,20.0,81,2681729,255,16
16654,16654,1901_12_TeamLJ_TeamB,188,,188,6489891,255,16
33044,33044,1903_19_TeamNL_TeamB,265,71.0,269,9011051,255,16
33045,33045,1903_19_TeamNL_TeamB,265,71.0,269,9011951,255,16
33046,33046,1903_19_TeamNL_TeamB,265,71.0,269,9012401,255,16
33047,33047,1903_19_TeamNL_TeamB,265,71.0,269,9012801,255,16
33048,33048,1903_19_TeamNL_TeamB,265,71.0,269,9013101,255,16
65817,65817,1903_18_TeamNI_TeamA3,140,42.0,141,4444331,255,16
65818,65818,1903_18_TeamNI_TeamA3,140,42.0,141,4444881,255,16
65819,65819,1903_18_TeamNI_TeamA3,140,42.0,141,4445331,255,16
98582,98582,1903_06_TeamND_TeamA2,123,37.0,125,3950224,255,16
65820,65820,1903_18_TeamNI_TeamA3,140,42.0,141,4445431,3,2
33049,33049,1903_19_TeamNL_TeamB,265,71.0,269,9013301,6,2
98583,98583,1903_06_TeamND_TeamA2,123,37.0,125,3951724,4,2
16680,16680,1901_12_TeamLJ_TeamB,194,,194,6671341,255,16
16681,16681,1901_12_TeamLJ_TeamB,194,,194,6672091,255,16
303,303,1903_01_TeamNE_TeamA2,82,20.0,82,2567330,255,16
304,304,1903_01_TeamNE_TeamA2,82,20.0,82,2568452,255,16
33073,33073,1903_19_TeamNL_TeamB,272,72.0,276,9168301,255,16
33074,33074,1903_19_TeamNL_TeamB,272,72.0,276,9169001,255,16
33075,33075,1903_19_TeamNL_TeamB,272,72.0,276,9169451,255,16
33076,33076,1903_19_TeamNL_TeamB,272,72.0,276,9169701,255,16
33077,33077,1903_19_TeamNL_TeamB,272,72.0,276,9170001,255,16
33078,33078,1903_19_TeamNL_TeamB,272,72.0,276,9170501,6,2
49469,49469,1902_05_TeamML_TeamB,94,24.0,94,10497429,255,16
49470,49470,1902_05_TeamML_TeamB,94,24.0,94,10498329,255,16
33090,33090,1903_19_TeamNL_TeamB,275,73.0,279,9393051,255,16
323,323,1903_01_TeamNE_TeamA2,87,22.0,87,2702003,255,16
324,324,1903_01_TeamNE_TeamA2,87,22.0,87,2702960,255,16
325,325,1903_01_TeamNE_TeamA2,87,22.0,87,2703587,255,16
326,326,1903_01_TeamNE_TeamA2,87,22.0,87,2704049,255,16
33091,33091,1903_19_TeamNL_TeamB,275,73.0,279,9393851,255,16
33092,33092,1903_19_TeamNL_TeamB,275,73.0,279,9394401,255,16
33093,33093,1903_19_TeamNL_TeamB,275,73.0,279,9394901,255,16
65864,65864,1903_18_TeamNI_TeamA3,154,45.0,155,4871081,255,16
65865,65865,1903_18_TeamNI_TeamA3,154,45.0,155,4872631,255,16
98630,98630,1903_06_TeamND_TeamA2,137,40.0,139,4322324,255,16
98631,98631,1903_06_TeamND_TeamA2,137,40.0,139,4322974,255,16
98632,98632,1903_06_TeamND_TeamA2,137,40.0,139,4323474,255,16
98633,98633,1903_06_TeamND_TeamA2,137,40.0,139,4323824,255,16
98640,98640,1903_06_TeamND_TeamA2,138,41.0,140,4360374,255,16
98641,98641,1903_06_TeamND_TeamA2,138,41.0,140,4360924,255,16
98642,98642,1903_06_TeamND_TeamA2,138,41.0,140,4361424,255,16
65866,65866,1903_18_TeamNI_TeamA3,154,45.0,155,4873081,5,2
39145,39145,1902_10_TeamMI_TeamA3,162,44.0,162,5792381,3,2
16729,16729,1901_12_TeamLJ_TeamB,208,,208,7117490,255,16
98652,98652,1903_06_TeamND_TeamA2,140,42.0,142,4532024,255,16
49504,49504,1902_05_TeamML_TeamB,104,26.0,104,10834379,255,16
16739,16739,1901_12_TeamLJ_TeamB,210,,210,7167940,255,16
16740,16740,1901_12_TeamLJ_TeamB,210,,210,7168890,255,16
82278,82278,1900_05_TeamKK_TeamB,34,,34,1313364,255,16
49515,49515,1902_05_TeamML_TeamB,105,27.0,105,10889479,255,16
49516,49516,1902_05_TeamML_TeamB,105,27.0,105,10890129,255,16
49517,49517,1902_05_TeamML_TeamB,105,27.0,105,10890579,255,16
98679,98679,1903_06_TeamND_TeamA2,144,43.0,146,4710474,255,16
65206,65206,1902_06_TeamML_TeamB,288,77.0,289,10216724,255,16
65207,65207,1902_06_TeamML_TeamB,288,77.0,289,10217174,6,2
98701,98701,1903_06_TeamND_TeamA2,150,45.0,152,4919574,255,16
98702,98702,1903_06_TeamND_TeamA2,150,45.0,152,4920374,255,16
98703,98703,1903_06_TeamND_TeamA2,150,45.0,152,4920924,255,16
65938,65938,1903_18_TeamNI_TeamA3,177,48.0,178,5445031,255,16
65939,65939,1903_18_TeamNI_TeamA3,177,48.0,178,5445781,255,16
414,414,1903_01_TeamNE_TeamA2,112,28.0,112,3486414,255,16
415,415,1903_01_TeamNE_TeamA2,112,28.0,112,3487305,255,16
98728,98728,1903_06_TeamND_TeamA2,157,46.0,159,5152624,255,16
98729,98729,1903_06_TeamND_TeamA2,157,46.0,159,5154124,255,16
98730,98730,1903_06_TeamND_TeamA2,157,46.0,159,5154274,5,2
65963,65963,1903_18_TeamNI_TeamA3,183,50.0,184,5884731,255,16
65964,65964,1903_18_TeamNI_TeamA3,183,50.0,184,5885481,255,16
65965,65965,1903_18_TeamNI_TeamA3,183,50.0,184,5885931,255,16
65966,65966,1903_18_TeamNI_TeamA3,183,50.0,184,5886281,255,16
19625,19625,1901_01_TeamLG_TeamA3,119,,119,3833673,5,2
439,439,1903_01_TeamNE_TeamA2,117,29.0,117,3636300,255,16
440,440,1903_01_TeamNE_TeamA2,117,29.0,117,3637587,255,16
16825,16825,1901_12_TeamLJ_TeamB,235,,235,7958239,255,16
16826,16826,1901_12_TeamLJ_TeamB,235,,235,7959139,255,16
441,441,1903_01_TeamNE_TeamA2,117,29.0,117,3638082,6,2
98751,98751,1903_06_TeamND_TeamA2,163,47.0,165,5369024,255,16
65985,65985,1903_18_TeamNI_TeamA3,188,51.0,189,6009931,255,16
450,450,1903_01_TeamNE_TeamA2,119,30.0,119,3792093,255,16
451,451,1903_01_TeamNE_TeamA2,119,30.0,119,3793149,255,16
452,452,1903_01_TeamNE_TeamA2,119,30.0,119,3793776,255,16
33219,33219,1901_13_TeamLL_TeamB,5,,5,111175,255,16
33220,33220,1901_13_TeamLL_TeamB,5,,5,112425,255,16
65987,65987,1903_18_TeamNI_TeamA3,188,51.0,189,6011281,255,16
65986,65986,1903_18_TeamNI_TeamA3,188,51.0,189,6010881,255,16
49609,49609,1902_05_TeamML_TeamB,133,33.0,133,11837729,255,16
49610,49610,1902_05_TeamML_TeamB,133,33.0,133,11838129,255,16
453,453,1903_01_TeamNE_TeamA2,119,30.0,119,3794238,6,2
66000,66000,1903_18_TeamNI_TeamA3,191,52.0,192,6102481,255,16
468,468,1903_01_TeamNE_TeamA2,123,31.0,123,3878454,255,16
469,469,1903_01_TeamNE_TeamA2,123,31.0,123,3878916,255,16
470,470,1903_01_TeamNE_TeamA2,123,31.0,123,3879213,255,16
471,471,1903_01_TeamNE_TeamA2,123,31.0,123,3879543,255,16
33242,33242,1901_13_TeamLL_TeamB,11,,11,235075,255,16
33243,33243,1901_13_TeamLL_TeamB,11,,11,236025,255,16
33244,33244,1901_13_TeamLL_TeamB,11,,11,236975,255,16
33245,33245,1901_13_TeamLL_TeamB,11,,11,237325,255,16
478,478,1903_01_TeamNE_TeamA2,124,32.0,124,3911454,255,16
479,479,1903_01_TeamNE_TeamA2,124,32.0,124,3911949,255,16
33246,33246,1901_13_TeamLL_TeamB,11,,11,237675,255,16
33247,33247,1901_13_TeamLL_TeamB,11,,11,237925,255,16
16860,16860,1901_12_TeamLJ_TeamB,245,,245,8456589,255,16
16861,16861,1901_12_TeamLJ_TeamB,245,,245,8458189,255,16
16862,16862,1901_12_TeamLJ_TeamB,245,,245,8459189,255,16
16863,16863,1901_12_TeamLJ_TeamB,245,,245,8459639,255,16
42429,42429,1903_26_TeamNK_TeamB,239,64.0,244,8150929,6,2
488,488,1903_01_TeamNE_TeamA2,125,33.0,125,4065993,255,16
489,489,1903_01_TeamNE_TeamA2,125,33.0,125,4067082,255,16
490,490,1903_01_TeamNE_TeamA2,125,33.0,125,4067709,255,16
491,491,1903_01_TeamNE_TeamA2,125,33.0,125,4068138,255,16
33257,33257,1901_13_TeamLL_TeamB,13,,13,293225,255,16
49645,49645,1902_05_TeamML_TeamB,143,37.0,143,12241629,255,16
49646,49646,1902_05_TeamML_TeamB,143,37.0,143,12242579,255,16
49647,49647,1902_05_TeamML_TeamB,143,37.0,143,12243279,6,2
49653,49653,1902_05_TeamML_TeamB,144,38.0,144,12391029,255,16
33272,33272,1901_13_TeamLL_TeamB,16,,16,499775,255,16
49660,49660,1902_05_TeamML_TeamB,145,39.0,145,12448379,255,16
49661,49661,1902_05_TeamML_TeamB,145,39.0,145,12448779,255,16
49662,49662,1902_05_TeamML_TeamB,145,39.0,145,12449279,255,16
49663,49663,1902_05_TeamML_TeamB,145,39.0,145,12449879,4,2
66054,66054,1903_18_TeamNI_TeamA3,206,57.0,207,6780131,255,16
66055,66055,1903_18_TeamNI_TeamA3,206,57.0,207,6781031,255,16
33289,33289,1901_13_TeamLL_TeamB,20,,20,624925,255,16
33290,33290,1901_13_TeamLL_TeamB,20,,20,625575,255,16
528,528,1903_01_TeamNE_TeamA2,134,36.0,134,4381407,255,16
529,529,1903_01_TeamNE_TeamA2,134,36.0,134,4381869,255,16
530,530,1903_01_TeamNE_TeamA2,134,36.0,134,4382331,255,16
531,531,1903_01_TeamNE_TeamA2,134,36.0,134,4382694,255,16
33298,33298,1901_13_TeamLL_TeamB,21,,21,682075,255,16
33299,33299,1901_13_TeamLL_TeamB,21,,21,683125,255,16
33300,33300,1901_13_TeamLL_TeamB,21,,21,683975,255,16
49696,49696,1902_05_TeamML_TeamB,155,41.0,155,12763079,255,16
49697,49697,1902_05_TeamML_TeamB,155,41.0,155,12764029,255,16
49698,49698,1902_05_TeamML_TeamB,155,41.0,155,12764429,3,2
16931,16931,1901_12_TeamLJ_TeamB,263,,263,9124438,255,16
16932,16932,1901_12_TeamLJ_TeamB,263,,263,9125188,6,2
98865,98865,1903_06_TeamND_TeamA2,194,56.0,196,6433224,255,16
98866,98866,1903_06_TeamND_TeamA2,194,56.0,196,6434424,255,16
65241,65241,1903_18_TeamNI_TeamA3,4,1.0,4,58416,255,16
16950,16950,1901_12_TeamLJ_TeamB,268,,268,9242938,255,16
16951,16951,1901_12_TeamLJ_TeamB,268,,268,9243638,255,16
16952,16952,1901_12_TeamLJ_TeamB,268,,268,9244138,255,16
65242,65242,1903_18_TeamNI_TeamA3,4,1.0,4,58966,255,16
16953,16953,1901_12_TeamLJ_TeamB,268,,268,9244738,4,2
66110,66110,1903_18_TeamNI_TeamA3,223,60.0,224,7269031,255,16
16959,16959,1901_12_TeamLJ_TeamB,269,,269,9283438,255,16
16960,16960,1901_12_TeamLJ_TeamB,269,,269,9284038,4,2
582,582,1903_01_TeamNE_TeamA2,149,39.0,149,4903204,255,16
583,583,1903_01_TeamNE_TeamA2,149,39.0,149,4903600,255,16
584,584,1903_01_TeamNE_TeamA2,149,39.0,149,4903864,255,16
66120,66120,1903_18_TeamNI_TeamA3,225,61.0,226,7472531,255,16
66121,66121,1903_18_TeamNI_TeamA3,225,61.0,226,7473831,255,16
16969,16969,1902_03_TeamMG_TeamA3,2,1.0,2,32346,255,16
98904,98904,1903_06_TeamND_TeamA2,204,59.0,207,6866424,255,16
98905,98905,1903_06_TeamND_TeamA2,204,59.0,207,6866974,255,16
98906,98906,1903_06_TeamND_TeamA2,204,59.0,207,6867474,255,16
98907,98907,1903_06_TeamND_TeamA2,204,59.0,207,6867874,255,16
98908,98908,1903_06_TeamND_TeamA2,204,59.0,207,6868474,255,16
98921,98921,1903_06_TeamND_TeamA2,207,60.0,210,6959124,255,16
98922,98922,1903_06_TeamND_TeamA2,207,60.0,210,6960574,255,16
49769,49769,1902_05_TeamML_TeamB,178,46.0,178,13496179,255,16
98923,98923,1903_06_TeamND_TeamA2,207,60.0,210,6961374,6,2
629,629,1903_01_TeamNE_TeamA2,162,42.0,162,5419655,255,16
630,630,1903_01_TeamNE_TeamA2,162,42.0,162,5420546,255,16
631,631,1903_01_TeamNE_TeamA2,162,42.0,162,5421140,255,16
632,632,1903_01_TeamNE_TeamA2,162,42.0,162,5421635,255,16
17015,17015,1902_03_TeamMG_TeamA3,15,4.0,15,470296,255,16
17016,17016,1902_03_TeamMG_TeamA3,15,4.0,15,470646,255,16
17017,17017,1902_03_TeamMG_TeamA3,15,4.0,15,470896,255,16
17018,17018,1902_03_TeamMG_TeamA3,15,4.0,15,471146,255,16
17019,17019,1902_03_TeamMG_TeamA3,15,4.0,15,471396,255,16
17020,17020,1902_03_TeamMG_TeamA3,15,4.0,15,471596,255,16
49790,49790,1902_05_TeamML_TeamB,183,47.0,183,13818579,255,16
98944,98944,1903_06_TeamND_TeamA2,212,62.0,215,7123424,255,16
17021,17021,1902_03_TeamMG_TeamA3,15,4.0,15,472346,4,2
17027,17027,1902_03_TeamMG_TeamA3,16,5.0,16,623146,255,16
17028,17028,1902_03_TeamMG_TeamA3,16,5.0,16,624496,255,16
17029,17029,1902_03_TeamMG_TeamA3,16,5.0,16,624946,6,2
66184,66184,1903_18_TeamNI_TeamA3,244,66.0,245,8190031,255,16
66185,66185,1903_18_TeamNI_TeamA3,244,66.0,245,8190431,255,16
66186,66186,1903_18_TeamNI_TeamA3,244,66.0,245,8190781,255,16
66187,66187,1903_18_TeamNI_TeamA3,244,66.0,245,8191031,255,16
66188,66188,1903_18_TeamNI_TeamA3,244,66.0,245,8191381,255,16
49803,49803,1902_05_TeamML_TeamB,186,48.0,186,13902029,255,16
49804,49804,1902_05_TeamML_TeamB,186,48.0,186,13902979,255,16
17038,17038,1902_03_TeamMG_TeamA3,18,6.0,18,665796,255,16
17039,17039,1902_03_TeamMG_TeamA3,18,6.0,18,667046,255,16
82574,82574,1900_05_TeamKK_TeamB,119,,119,4574006,255,16
17061,17061,1902_03_TeamMG_TeamA3,24,7.0,24,800546,255,16
17062,17062,1902_03_TeamMG_TeamA3,24,7.0,24,802446,255,16
17063,17063,1902_03_TeamMG_TeamA3,24,7.0,24,803246,5,2
33449,33449,1901_13_TeamLL_TeamB,69,,69,2131774,255,16
33450,33450,1901_13_TeamLL_TeamB,69,,69,2132924,5,2
66222,66222,1903_18_TeamNI_TeamA3,251,69.0,252,8433631,255,16
66223,66223,1903_18_TeamNI_TeamA3,251,69.0,252,8434181,255,16
66224,66224,1903_18_TeamNI_TeamA3,251,69.0,252,8434531,6,2
