,game_str,play_id,ball_direction
310,1903_03_TeamNE_TeamA2,36,left
311,1903_03_TeamNE_TeamA2,52,right
312,1903_03_TeamNE_TeamA2,55,left
313,1903_03_TeamNE_TeamA2,62,left
314,1903_03_TeamNE_TeamA2,90,right
315,1903_03_TeamNE_TeamA2,91,left
316,1903_03_TeamNE_TeamA2,96,left
317,1903_03_TeamNE_TeamA2,128,left
318,1903_03_TeamNE_TeamA2,148,right
319,1903_03_TeamNE_TeamA2,149,left
320,1903_03_TeamNE_TeamA2,166,right
321,1903_03_TeamNE_TeamA2,173,right
322,1903_03_TeamNE_TeamA2,176,right
323,1903_03_TeamNE_TeamA2,214,right
324,1903_03_TeamNE_TeamA2,231,right
325,1903_03_TeamNE_TeamA2,243,left
326,1903_03_TeamNE_TeamA2,260,left
327,1903_03_TeamNE_TeamA2,296,left
328,1903_12_TeamNC_TeamA1,6,right
329,1903_12_TeamNC_TeamA1,24,left
330,1903_12_TeamNC_TeamA1,35,right
331,1903_12_TeamNC_TeamA1,48,left
332,1903_12_TeamNC_TeamA1,81,right
333,1903_12_TeamNC_TeamA1,90,right
334,1903_12_TeamNC_TeamA1,100,right
335,1903_12_TeamNC_TeamA1,103,left
336,1903_12_TeamNC_TeamA1,115,left
337,1903_12_TeamNC_TeamA1,121,left
338,1903_12_TeamNC_TeamA1,130,left
339,1903_12_TeamNC_TeamA1,208,right
340,1903_12_TeamNC_TeamA1,218,right
341,1903_12_TeamNC_TeamA1,237,right
342,1903_09_TeamNJ_TeamB,15,left
343,1903_09_TeamNJ_TeamB,50,left
344,1903_09_TeamNJ_TeamB,58,right
345,1903_09_TeamNJ_TeamB,60,left
346,1903_09_TeamNJ_TeamB,107,left
347,1903_09_TeamNJ_TeamB,110,right
348,1903_09_TeamNJ_TeamB,133,left
349,1903_09_TeamNJ_TeamB,156,left
350,1903_09_TeamNJ_TeamB,173,left
351,1903_09_TeamNJ_TeamB,186,right
352,1903_09_TeamNJ_TeamB,193,left
353,1903_09_TeamNJ_TeamB,211,right
354,1903_09_TeamNJ_TeamB,249,right
355,1903_09_TeamNJ_TeamB,263,right
356,1903_19_TeamNL_TeamB,5,left
357,1903_19_TeamNL_TeamB,11,right
358,1903_19_TeamNL_TeamB,14,right
359,1903_19_TeamNL_TeamB,23,left
360,1903_19_TeamNL_TeamB,48,left
361,1903_19_TeamNL_TeamB,58,right
362,1903_19_TeamNL_TeamB,61,left
363,1903_19_TeamNL_TeamB,67,left
364,1903_19_TeamNL_TeamB,194,right
365,1903_19_TeamNL_TeamB,264,right
366,1903_19_TeamNL_TeamB,265,right
367,1903_19_TeamNL_TeamB,272,right
368,1901_13_TeamLL_TeamB,69,right
369,1901_13_TeamLL_TeamB,136,right
370,1901_13_TeamLL_TeamB,138,right
371,1901_13_TeamLL_TeamB,140,right
372,1901_13_TeamLL_TeamB,164,left
373,1901_13_TeamLL_TeamB,180,left
374,1901_13_TeamLL_TeamB,183,left
375,1901_13_TeamLL_TeamB,193,left
376,1901_13_TeamLL_TeamB,195,right
377,1901_13_TeamLL_TeamB,204,right
378,1901_13_TeamLL_TeamB,233,right
379,1901_02_TeamLG_TeamA3,29,left
380,1901_02_TeamLG_TeamA3,33,left
381,1901_02_TeamLG_TeamA3,94,left
382,1901_02_TeamLG_TeamA3,125,right
383,1901_02_TeamLG_TeamA3,229,right
384,1901_02_TeamLG_TeamA3,236,left
385,1901_02_TeamLG_TeamA3,296,left
386,1903_31_TeamNB_TeamA1,18,right
387,1903_31_TeamNB_TeamA1,53,right
388,1903_31_TeamNB_TeamA1,124,left
389,1903_31_TeamNB_TeamA1,132,left
390,1903_31_TeamNB_TeamA1,150,right
391,1903_31_TeamNB_TeamA1,221,right
392,1903_31_TeamNB_TeamA1,238,right
393,1903_31_TeamNB_TeamA1,241,left
394,1903_31_TeamNB_TeamA1,284,right
395,1903_31_TeamNB_TeamA1,290,right
396,1903_31_TeamNB_TeamA1,297,left
397,1901_09_TeamLK_TeamB,11,left
398,1901_09_TeamLK_TeamB,12,left
399,1901_09_TeamLK_TeamB,19,left
400,1901_09_TeamLK_TeamB,38,left
401,1901_09_TeamLK_TeamB,42,left
402,1901_09_TeamLK_TeamB,53,right
403,1901_09_TeamLK_TeamB,78,right
404,1901_09_TeamLK_TeamB,91,left
405,1901_09_TeamLK_TeamB,96,right
406,1901_09_TeamLK_TeamB,143,left
407,1901_09_TeamLK_TeamB,160,left
408,1901_09_TeamLK_TeamB,176,left
409,1901_09_TeamLK_TeamB,193,right
410,1901_09_TeamLK_TeamB,205,left
411,1901_09_TeamLK_TeamB,207,left
412,1902_18_TeamMB_TeamA1,28,left
413,1902_18_TeamMB_TeamA1,31,right
414,1902_18_TeamMB_TeamA1,48,right
415,1902_18_TeamMB_TeamA1,71,left
416,1902_18_TeamMB_TeamA1,75,right
417,1902_18_TeamMB_TeamA1,86,right
418,1902_18_TeamMB_TeamA1,96,right
419,1902_18_TeamMB_TeamA1,112,right
420,1902_18_TeamMB_TeamA1,146,left
421,1902_18_TeamMB_TeamA1,158,left
422,1902_18_TeamMB_TeamA1,190,right
423,1902_18_TeamMB_TeamA1,193,right
424,1902_18_TeamMB_TeamA1,196,left
425,1902_10_TeamMI_TeamA3,34,right
426,1902_10_TeamMI_TeamA3,107,right
427,1902_10_TeamMI_TeamA3,114,right
428,1902_10_TeamMI_TeamA3,162,right
429,1902_10_TeamMI_TeamA3,170,left
430,1902_10_TeamMI_TeamA3,176,left
431,1902_10_TeamMI_TeamA3,229,left
432,1902_10_TeamMI_TeamA3,258,right
433,1902_10_TeamMI_TeamA3,268,left
434,1902_10_TeamMI_TeamA3,282,right
435,1903_02_TeamNE_TeamA2,17,left
436,1903_02_TeamNE_TeamA2,42,right
437,1903_02_TeamNE_TeamA2,46,right
438,1903_02_TeamNE_TeamA2,49,right
439,1903_02_TeamNE_TeamA2,55,right
440,1903_02_TeamNE_TeamA2,62,right
441,1903_02_TeamNE_TeamA2,64,right
442,1903_02_TeamNE_TeamA2,72,right
443,1903_02_TeamNE_TeamA2,96,right
444,1903_02_TeamNE_TeamA2,138,right
445,1903_02_TeamNE_TeamA2,141,right
446,1903_02_TeamNE_TeamA2,147,right
447,1903_02_TeamNE_TeamA2,151,right
448,1903_02_TeamNE_TeamA2,152,right
449,1903_02_TeamNE_TeamA2,168,right
450,1903_02_TeamNE_TeamA2,171,right
451,1903_02_TeamNE_TeamA2,194,right
452,1902_26_TeamMC_TeamA1,8,right
453,1902_26_TeamMC_TeamA1,20,left
454,1902_26_TeamMC_TeamA1,22,right
455,1902_26_TeamMC_TeamA1,34,left
456,1902_26_TeamMC_TeamA1,48,left
457,1902_26_TeamMC_TeamA1,56,right
458,1902_26_TeamMC_TeamA1,71,right
459,1902_26_TeamMC_TeamA1,115,right
460,1902_26_TeamMC_TeamA1,120,left
461,1902_26_TeamMC_TeamA1,188,right
462,1902_26_TeamMC_TeamA1,199,right
463,1902_26_TeamMC_TeamA1,204,left
464,1902_26_TeamMC_TeamA1,230,left
465,1902_26_TeamMC_TeamA1,254,right
466,1903_26_TeamNK_TeamB,26,left
467,1903_26_TeamNK_TeamB,42,right
468,1903_26_TeamNK_TeamB,59,right
469,1903_26_TeamNK_TeamB,74,right
470,1903_26_TeamNK_TeamB,76,left
471,1903_26_TeamNK_TeamB,118,right
472,1903_26_TeamNK_TeamB,174,right
473,1903_26_TeamNK_TeamB,183,left
474,1903_26_TeamNK_TeamB,193,right
475,1903_26_TeamNK_TeamB,199,left
476,1903_26_TeamNK_TeamB,237,right
477,1903_26_TeamNK_TeamB,239,right
478,1902_24_TeamMA_TeamA1,10,right
479,1902_24_TeamMA_TeamA1,14,left
480,1902_24_TeamMA_TeamA1,27,left
481,1902_24_TeamMA_TeamA1,36,left
482,1902_24_TeamMA_TeamA1,58,right
483,1902_24_TeamMA_TeamA1,65,left
484,1902_24_TeamMA_TeamA1,74,right
485,1902_24_TeamMA_TeamA1,76,right
486,1902_24_TeamMA_TeamA1,85,right
487,1902_24_TeamMA_TeamA1,89,right
488,1902_24_TeamMA_TeamA1,140,right
489,1902_24_TeamMA_TeamA1,141,left
490,1902_24_TeamMA_TeamA1,204,left
491,1902_24_TeamMA_TeamA1,234,right
492,1902_24_TeamMA_TeamA1,240,right
493,1902_24_TeamMA_TeamA1,278,right
494,1902_24_TeamMA_TeamA1,283,left
495,1902_24_TeamMA_TeamA1,284,left
496,1902_24_TeamMA_TeamA1,327,right
497,1902_24_TeamMA_TeamA1,369,right
498,1902_01_TeamMG_TeamA3,15,left
499,1902_01_TeamMG_TeamA3,64,right
500,1902_01_TeamMG_TeamA3,169,right
501,1902_01_TeamMG_TeamA3,189,right
502,1902_01_TeamMG_TeamA3,193,right
503,1902_01_TeamMG_TeamA3,212,left
504,1902_01_TeamMG_TeamA3,252,left
505,1901_18_TeamLH_TeamA3,27,right
506,1901_18_TeamLH_TeamA3,30,right
507,1901_18_TeamLH_TeamA3,247,left
508,1901_18_TeamLH_TeamA3,252,left
509,1901_18_TeamLH_TeamA3,255,left
510,1901_03_TeamLG_TeamA3,15,left
511,1901_03_TeamLG_TeamA3,21,right
512,1901_03_TeamLG_TeamA3,88,left
513,1901_03_TeamLG_TeamA3,90,right
514,1901_03_TeamLG_TeamA3,96,right
515,1901_03_TeamLG_TeamA3,115,left
516,1901_03_TeamLG_TeamA3,122,right
517,1901_03_TeamLG_TeamA3,144,left
518,1901_03_TeamLG_TeamA3,147,left
519,1901_03_TeamLG_TeamA3,162,left
520,1901_03_TeamLG_TeamA3,168,left
521,1901_03_TeamLG_TeamA3,171,right
522,1901_03_TeamLG_TeamA3,176,left
523,1901_03_TeamLG_TeamA3,179,left
524,1901_03_TeamLG_TeamA3,182,right
525,1901_03_TeamLG_TeamA3,205,right
526,1901_03_TeamLG_TeamA3,235,left
527,1901_03_TeamLG_TeamA3,237,right
528,1901_03_TeamLG_TeamA3,256,right
529,1902_14_TeamMK_TeamB,9,right
530,1902_14_TeamMK_TeamB,12,left
531,1902_14_TeamMK_TeamB,26,right
532,1902_14_TeamMK_TeamB,104,right
533,1902_14_TeamMK_TeamB,113,right
534,1902_14_TeamMK_TeamB,118,right
535,1902_14_TeamMK_TeamB,150,left
536,1902_14_TeamMK_TeamB,160,left
537,1902_14_TeamMK_TeamB,298,right
538,1902_05_TeamML_TeamB,36,left
539,1902_05_TeamML_TeamB,43,left
540,1902_05_TeamML_TeamB,143,left
541,1902_05_TeamML_TeamB,145,right
542,1902_05_TeamML_TeamB,155,right
543,1902_05_TeamML_TeamB,206,left
544,1902_05_TeamML_TeamB,214,right
545,1902_05_TeamML_TeamB,220,right
546,1902_05_TeamML_TeamB,226,left
547,1902_05_TeamML_TeamB,276,right
548,1902_05_TeamML_TeamB,311,left
549,1902_14_TeamMD_TeamA2,2,right
550,1902_14_TeamMD_TeamA2,21,right
551,1902_14_TeamMD_TeamA2,27,left
552,1902_14_TeamMD_TeamA2,66,left
553,1902_14_TeamMD_TeamA2,98,right
554,1902_14_TeamMD_TeamA2,110,right
555,1902_14_TeamMD_TeamA2,121,left
556,1902_14_TeamMD_TeamA2,173,left
557,1902_14_TeamMD_TeamA2,192,left
558,1902_14_TeamMD_TeamA2,199,left
559,1902_14_TeamMD_TeamA2,245,right
560,1902_14_TeamMD_TeamA2,247,right
561,1902_14_TeamMD_TeamA2,280,left
562,1902_14_TeamMD_TeamA2,284,right
563,1902_14_TeamMD_TeamA2,314,right
564,1902_14_TeamMD_TeamA2,327,left
565,1903_30_TeamNB_TeamA1,3,right
566,1903_30_TeamNB_TeamA1,29,right
567,1903_30_TeamNB_TeamA1,61,right
568,1903_30_TeamNB_TeamA1,64,right
569,1903_30_TeamNB_TeamA1,104,right
570,1903_30_TeamNB_TeamA1,116,right
571,1903_30_TeamNB_TeamA1,138,right
572,1903_30_TeamNB_TeamA1,171,left
573,1903_30_TeamNB_TeamA1,211,right
574,1903_30_TeamNB_TeamA1,219,left
575,1903_30_TeamNB_TeamA1,263,right
576,1903_30_TeamNB_TeamA1,268,right
577,1902_11_TeamMI_TeamA3,11,left
578,1902_11_TeamMI_TeamA3,70,left
579,1902_11_TeamMI_TeamA3,73,right
580,1902_11_TeamMI_TeamA3,93,left
581,1902_11_TeamMI_TeamA3,144,left
582,1902_11_TeamMI_TeamA3,175,right
583,1902_11_TeamMI_TeamA3,212,left
584,1902_11_TeamMI_TeamA3,267,left
585,1901_06_TeamLI_TeamA3,30,left
586,1901_06_TeamLI_TeamA3,46,right
587,1901_06_TeamLI_TeamA3,64,right
588,1901_06_TeamLI_TeamA3,71,right
589,1901_06_TeamLI_TeamA3,122,left
590,1902_27_TeamMH_TeamA3,57,left
591,1902_27_TeamMH_TeamA3,124,left
592,1902_27_TeamMH_TeamA3,191,right
593,1902_27_TeamMH_TeamA3,237,left
594,1902_27_TeamMH_TeamA3,265,left
595,1902_27_TeamMH_TeamA3,272,right
596,1902_27_TeamMH_TeamA3,282,right
597,1903_05_TeamND_TeamA2,57,right
598,1903_05_TeamND_TeamA2,190,right
599,1903_05_TeamND_TeamA2,193,left
600,1903_05_TeamND_TeamA2,204,right
601,1903_05_TeamND_TeamA2,275,right
602,1903_05_TeamND_TeamA2,297,right
603,1903_26_TeamNH_TeamA3,7,left
604,1903_26_TeamNH_TeamA3,32,left
605,1903_26_TeamNH_TeamA3,58,right
606,1903_26_TeamNH_TeamA3,83,right
607,1903_26_TeamNH_TeamA3,116,right
608,1903_26_TeamNH_TeamA3,197,left
609,1903_26_TeamNH_TeamA3,255,left
610,1903_26_TeamNH_TeamA3,278,left
611,1903_26_TeamNH_TeamA3,284,right
612,1903_26_TeamNH_TeamA3,340,right
613,1902_13_TeamMK_TeamB,4,left
614,1902_13_TeamMK_TeamB,52,left
